table,class,producer,consumers,source_of_truth,rebuildable,safe_to_archive,safe_to_purge,required_retention,growth_driver,depends_on,public_api_impact,migration_priority,rollback_importance,evidence
data_sources,canonical/reference,scripts/seed-ingestion-sources.mjs,lib/catalog/sync.ts;lib/ingestion/*,repository seed,no,no,never,forever,static,none,none,1,critical,migrations/0001
source_endpoints,canonical/reference,scripts/seed-ingestion-sources.mjs,lib/catalog/sync.ts;lib/ingestion/*,repository seed,no,no,never,forever,static,data_sources,none,1,critical,migrations/0001
workflow_definitions,canonical/reference,lib/workflow.ts::ensureWorkflowDefinition,all job orchestrators,application upsert,yes,no,never,forever,static (one row per job slug),none,none,1,critical,migrations/0002
workflow_runs,operational/workflow,lib/workflow.ts::startWorkflowRun,retention sweep;audit queries,application,no,yes,after terminal + archive,365d hot; failed/held 24m,one row per job invocation,workflow_definitions,none,3,high,migrations/0002
workflow_steps,operational/workflow,lib/workflow.ts::writeJobCursor/recordWorkflowStep,aggregation+ranking resume cursors,application,no,yes,after terminal parent,with parent run,one row per run (cursor),workflow_runs,none,3,high,migrations/0002;lib/aggregation/sync.ts
workflow_locks,operational/workflow,lib/workflow.ts::acquireWorkflowLock,all job orchestrators,application,yes,no,when released+reconciled,active only,ephemeral,workflow_definitions,none,4,medium,migrations/0002
data_fetch_runs,operational/workflow,lib/catalog/repository.ts::createFetchRun,raw snapshots;battles;players;observations,application,no,yes,never while referenced,365d hot; metadata forever,one row per external fetch,data_sources;source_endpoints;workflow_runs,none,2,critical,migrations/0003;0009
raw_api_snapshots,immutable/raw,lib/catalog/repository.ts::insertRawSnapshot,replay/normalization only,external API (irreplaceable),no,yes,payload only after verified archive,metadata forever; payload via archive+7d grace,~78.16 MB/day payload,data_fetch_runs,none,1,critical,migrations/0004;lib/ingestion/sync/battleLogCrawlSync.ts:311
normalized_snapshots,monitoring/audit,lib/catalog/sync.ts,lib/catalog/changeDetection.ts,application,yes,yes,superseded rows after 12m,accepted+current hot,one row per entity per catalog fetch,data_fetch_runs,none,4,medium,migrations/0005
canonical_brawlers,canonical/reference,lib/catalog/sync.ts,everything downstream; public slug source,official API + application,no,no,never,forever,~106 rows,data_fetch_runs,DIRECT (slug/name in public payload),1,critical,migrations/0006
brawler_aliases,canonical/reference,lib/catalog/sync.ts,rename history,application,no,no,never,forever,tiny,canonical_brawlers,none,2,high,migrations/0006
gadgets,canonical/reference,lib/catalog/sync.ts,none currently,official API,no,no,never,forever,tiny,canonical_brawlers,none,3,medium,migrations/0006
star_powers,canonical/reference,lib/catalog/sync.ts,none currently,official API,no,no,never,forever,tiny,canonical_brawlers,none,3,medium,migrations/0006
detected_changes,monitoring/audit,lib/catalog/changeDetection.ts,patch inference,application,no,yes,after 12m + archive,12m hot,per catalog change,data_fetch_runs,indirect (drives patch labels),4,medium,migrations/0007
data_incidents,monitoring/audit,lib/ingestion/incidents.ts,operator review,application,no,yes,resolved only after 12m,unresolved forever,deduplicated by signature,data_fetch_runs,none,4,high,migrations/0008;0018
canonical_game_modes,canonical/reference,lib/catalog/sync.ts,battles;aggregates;tier_thresholds;public mode tiers,official API,no,no,never,forever,tiny,none,DIRECT (mode ids in mode_tiers JSON),1,critical,migrations/0010
mode_aliases,canonical/reference,lib/catalog/sync.ts,rename history,application,no,no,never,forever,tiny,canonical_game_modes,none,2,high,migrations/0010
canonical_maps,canonical/reference,lib/catalog/sync.ts,normalized_battles,official API,no,no,never,forever,small,canonical_game_modes,none,2,high,migrations/0010
map_aliases,canonical/reference,lib/catalog/sync.ts,rename history,application,no,no,never,forever,tiny,canonical_maps,none,2,medium,migrations/0010
seed_players,canonical/reference,lib/ingestion/sync/rankingSeedSync.ts,player discovery,application,no,yes,retired seeds only,active forever,bounded by ranking size,none,none,3,medium,migrations/0011
observed_players,operational/workflow,lib/ingestion/sync/playerDiscoverySync.ts,promotion to crawl schedule,application,partially,yes,unpromoted after 60d,60d unpromoted,very high front-loaded (~130 MB),none,none,3,medium,migrations/0011;lib/ingestion/retentionQueries.ts
player_crawl_schedule,operational/workflow,lib/ingestion/sync/playerDiscoverySync.ts,battle-log crawl selection,application,yes,yes,retired state only,active hot,bounded by discovered tags,none,none,3,medium,migrations/0012;0019
normalized_clubs,normalized historical,lib/ingestion/sync/clubSync.ts,normalized_players,official API,no,no,while referenced,forever,moderate,data_fetch_runs,none,2,high,migrations/0013
normalized_players,normalized historical,lib/ingestion/sync/playerProfileSync.ts,battle_participants (FK),official API,no,no,NEVER while participants reference,forever,very high (~214 MB),normalized_clubs;data_fetch_runs,none,1,critical,migrations/0013;0017
player_name_history,normalized historical,lib/ingestion/sync/playerProfileSync.ts,audit,application,no,yes,after 365d + archive,365d hot,linear per rename,normalized_players,none,4,medium,migrations/0013
normalized_battles,normalized historical,lib/ingestion/sync/battleLogCrawlSync.ts,aggregation;ranking,derived deterministic identity (irreplaceable),no,yes,NEVER as primary solution,365d hot minimum; archive forever,~42-49k/day (~83 MB),canonical_game_modes;canonical_maps;data_fetch_runs;patches,indirect (all rankings derive from it),1,critical,migrations/0014;lib/ingestion/battleId.ts
battle_teams,normalized historical,lib/ingestion/sync/battleLogCrawlSync.ts,matchup aggregation (opponent derivation),application,no,yes,only with parent battle,with parent,~4.34/battle (~130 MB),normalized_battles,indirect,1,critical,migrations/0014
battle_participants,normalized historical,lib/ingestion/sync/battleLogCrawlSync.ts,all aggregation,application,no,yes,only with parent battle,with parent,~7.69/battle (~542 MB),normalized_battles;battle_teams;normalized_players;canonical_brawlers,indirect,1,critical,migrations/0014
battle_observations,normalized historical,lib/ingestion/sync/battleLogCrawlSync.ts,provenance/dedupe evidence,application,no,yes,after 180d + archive,180d hot,~1.38/battle (~130 MB),normalized_battles;data_fetch_runs,none,2,high,migrations/0014
ingestion_rate_budgets,operational/workflow,lib/ingestion/rateBudget.ts,all proxy callers,application,yes,no,current state kept,current + 12m audit,bounded (one row per scope),none,none,4,low,migrations/0015
crawl_batches,monitoring/audit,lib/ingestion/sync/*,audit,application,no,yes,after 90d,90d hot,one row per batch,workflow_runs,none,4,low,migrations/0015
patches,canonical/reference,lib/patches/patchInference.ts,battles;aggregates;ranking;published labels,application inference,no,no,never,forever,tiny,data_fetch_runs,DIRECT (patch_version_label),1,critical,migrations/0020
ranking_rule_sets,canonical/reference,migrations/0025 seed,ranking runs,repository seed,no,no,never,forever (reproducibility),tiny,none,indirect,1,critical,migrations/0021;0025
ranking_rule_weights,canonical/reference,migrations/0025 seed,lib/ranking/formulas.ts,repository seed,no,no,never,forever,tiny,ranking_rule_sets,indirect,1,critical,migrations/0021;0025
tier_thresholds,canonical/reference,migrations/0025 seed,lib/ranking/formulas.ts,repository seed,no,no,never,forever,tiny,ranking_rule_sets;canonical_game_modes,indirect,1,critical,migrations/0021;0025
aggregation_runs,derived aggregate,lib/aggregation/repository.ts::createAggregationRun,ranking_runs (3 FKs),application,metadata no/children yes,yes,NEVER metadata,metadata forever,one row per scope per run (3/job),workflow_runs,none,2,critical,migrations/0022;lib/aggregation/sync.ts
brawler_mode_aggregates,derived aggregate,lib/aggregation/repository.ts::insertModeAggregatesForBrawlers,lib/ranking/*,rebuildable from battles,yes,yes,unreferenced completed runs only,last 2 successful + 90d + all referenced,full copy per rebuild,aggregation_runs;canonical_brawlers;canonical_game_modes;patches,none (public reads published_* only),3,high,migrations/0022;0023
brawler_overall_aggregates,derived aggregate,lib/aggregation/repository.ts::insertOverallAggregatesForBrawlers,lib/ranking/*,rebuildable from battles,yes,yes,unreferenced completed runs only,last 2 successful + 90d + all referenced,full copy per rebuild,aggregation_runs;canonical_brawlers;patches,none,3,high,migrations/0022;0023
matchup_aggregates,derived aggregate,lib/aggregation/repository.ts::insertMatchupAggregatesForBrawlers,lib/ranking/*,rebuildable from battles,yes,yes,unreferenced completed runs only,last 2 successful + 90d + all referenced,DOMINANT: ~115720 rows/run (~876 MB total),aggregation_runs;canonical_brawlers;canonical_game_modes;patches,none,3,high,migrations/0022;0023
ranking_runs,ranking candidate,lib/ranking/repository.ts,published_snapshots (FK),application,metadata no,yes,NEVER metadata,metadata forever,one row per rebuild,workflow_runs;ranking_rule_sets;aggregation_runs x3;patches,indirect (snapshot provenance),2,critical,migrations/0024
ranking_results,ranking candidate,lib/ranking/sync.ts::brawlersPhase,publication;hold forensics,rebuildable,yes,yes,after 90d if not held/published/current,90d + all held/published/current,full copy per rebuild incl. held runs,ranking_runs;canonical_brawlers;canonical_game_modes,none,3,high,migrations/0024;lib/ranking/sync.ts
matchup_results,ranking candidate,lib/ranking/sync.ts::matchupsPhase,publication;hold forensics,rebuildable,yes,yes,after 90d if not held/published/current,90d + all held/published/current,full copy per rebuild incl. held runs,ranking_runs;canonical_brawlers;canonical_game_modes,none,3,high,migrations/0024
published_snapshots,published snapshot,lib/ranking/repository.ts::createPublishedSnapshot,lib/publishedSnapshots/repository.ts,immutable publication record,no,no,NEVER,forever hot,tiny (one per publication),ranking_runs;patches,DIRECT (publishedAt/patchVersion),1,critical,migrations/0024;lib/publishedSnapshots/repository.ts
published_snapshot_items,published snapshot,lib/ranking/repository.ts::insertPublishedSnapshotItem,/api/public/tier-list,immutable public contract,no,no,NEVER,forever hot,~106 rows per publication,published_snapshots;canonical_brawlers,DIRECT (entire brawler payload),1,critical,migrations/0024;app/api/public/tier-list/route.ts
published_matchup_items,published snapshot,lib/ranking/repository.ts::insertPublishedMatchupItem,/api/public/tier-list (counters/strongAgainst),immutable public contract,no,no,NEVER,forever hot,modest per publication,published_snapshots;canonical_brawlers,DIRECT (counters/strongAgainst),1,critical,migrations/0024;lib/publishedSnapshots/repository.ts
schema_migrations,monitoring/audit,scripts/migrate.mjs,migration runner,migration runner,no,no,NEVER,forever,tiny (25 rows),none,none,1,critical,scripts/migrate.mjs
